timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,hour
2025-01-23 00:00:00,44.5,49.8,386.0,24.2,18.4,54.0,15.8,53.968857,9.473541,345.69968,1015.3595,0
2025-01-23 01:00:00,43.7,48.4,547.0,31.1,19.1,45.0,15.4,58.291676,8.827343,343.41257,1016.2575,1
2025-01-23 02:00:00,45.5,49.6,802.0,40.3,20.1,33.0,15.1,58.818638,9.6228485,352.47626,1016.8561,2
2025-01-23 03:00:00,51.6,55.3,965.0,44.2,20.8,32.0,15.35,55.73829,9.181765,358.8767,1017.55615,3
2025-01-23 04:00:00,53.0,56.7,948.0,38.1,21.4,53.0,16.85,47.932686,7.040739,4.398633,1018.45984,4
2025-01-23 05:00:00,45.9,52.6,838.0,26.7,21.7,84.0,19.45,36.675182,6.0721655,11.976112,1019.067,5
2025-01-23 06:00:00,32.7,44.9,711.0,17.0,20.8,109.0,22.0,29.320587,5.6521144,9.16228,1019.07404,6
2025-01-23 07:00:00,21.7,37.3,567.0,11.1,17.7,120.0,24.2,23.996792,6.8423676,26.564985,1017.8811,7
2025-01-23 08:00:00,18.5,34.0,407.0,6.8,13.4,124.0,25.55,19.180855,6.889557,19.855309,1016.586,8
2025-01-23 09:00:00,15.8,29.7,302.0,4.3,10.1,126.0,26.1,16.046677,6.9270773,24.567156,1015.4881,9
2025-01-23 10:00:00,13.2,25.3,273.0,3.3,8.7,127.0,26.4,12.514948,8.415842,48.468323,1014.6897,10
2025-01-23 11:00:00,11.7,22.2,299.0,4.1,8.2,125.0,26.2,13.348256,10.094454,58.861095,1014.48926,11
2025-01-23 12:00:00,10.0,15.9,399.0,7.5,7.9,117.0,25.7,14.48816,9.82114,63.904633,1014.68774,12
2025-01-23 13:00:00,12.4,16.2,647.0,16.4,8.6,102.0,24.75,15.273955,12.031756,51.072456,1015.38464,13
2025-01-23 14:00:00,16.6,19.0,967.0,28.4,9.5,80.0,23.4,16.687405,10.152064,52.92685,1016.0804,14
2025-01-23 15:00:00,17.5,19.7,1150.0,36.0,10.1,65.0,22.2,18.69558,10.486448,39.427776,1016.9763,15
2025-01-23 16:00:00,16.7,19.2,1074.0,35.3,10.1,61.0,20.95,21.808851,9.835975,34.56259,1017.4724,16
2025-01-23 17:00:00,16.2,18.5,860.0,30.2,9.7,63.0,20.05,24.091074,9.734988,33.6901,1017.27,17
2025-01-23 18:00:00,15.1,17.1,662.0,24.8,9.1,66.0,19.15,25.290016,10.296251,36.469334,1017.0677,18
2025-01-23 19:00:00,13.0,14.9,524.0,19.9,8.0,70.0,18.5,24.92602,11.9466305,30.815645,1016.56616,19
2025-01-23 20:00:00,10.7,13.3,403.0,14.7,6.6,76.0,18.1,24.360601,12.204212,37.208004,1015.8655,20
2025-01-23 21:00:00,9.4,12.9,315.0,10.6,5.7,80.0,17.8,24.550003,11.1090765,40.399834,1015.9648,21
2025-01-23 22:00:00,8.8,13.1,254.0,7.7,5.6,82.0,17.2,25.974161,11.592895,25.769283,1015.66315,22
2025-01-23 23:00:00,8.8,13.6,226.0,6.0,5.9,83.0,16.4,28.669983,11.304229,9.16228,1015.6608,23
2025-01-24 00:00:00,9.1,14.5,276.0,7.1,6.5,79.0,15.85,31.145247,11.304229,9.16228,1015.75916,0
2025-01-24 01:00:00,9.7,15.3,473.0,13.7,7.6,70.0,15.4,33.983364,10.239453,10.124612,1016.5573,1
2025-01-24 02:00:00,11.7,17.3,746.0,22.5,9.1,59.0,15.0,34.99487,10.564941,13.799514,1017.05554,2
2025-01-24 03:00:00,15.7,21.2,928.0,27.0,10.7,57.0,14.95,35.363796,10.534229,16.88688,1017.655,3
2025-01-24 04:00:00,18.6,23.2,939.0,22.8,12.5,72.0,16.45,32.361637,9.278297,18.083544,1018.3586,4
